#time,accel_x,accel_y,accel_z
482.824433,-296.082377,-9030.512492,536.266849
482.824761,-444.123565,-9030.512492,459.657299
482.825088,0.000000,-9030.512492,612.876398
482.825416,0.000000,-9030.512492,919.314598
482.825744,-148.041188,-8882.471304,383.047749
482.826072,0.000000,-9178.553681,612.876398
482.826400,-148.041188,-9030.512492,536.266849
482.826728,-370.102971,-9178.553681,689.485948
482.827056,-370.102971,-9252.574275,536.266849
482.827384,-148.041188,-9178.553681,459.657299
482.827712,-296.082377,-9104.533087,383.047749
482.828040,-222.061783,-9252.574275,536.266849
482.828368,-296.082377,-9178.553681,383.047749
482.828695,-74.020594,-9326.594869,689.485948
482.829023,-370.102971,-9030.512492,612.876398
482.829351,0.000000,-9030.512492,1225.752797
482.829679,-296.082377,-9400.615463,383.047749
482.830007,-222.061783,-9178.553681,459.657299
482.830335,-296.082377,-9252.574275,612.876398
482.830663,-296.082377,-9178.553681,536.266849
482.830991,-518.144159,-8734.430116,766.095498
482.831319,0.000000,-8956.491898,995.924147
482.831647,0.000000,-9178.553681,536.266849
482.831975,-370.102971,-8882.471304,383.047749
482.832302,0.000000,-8956.491898,689.485948
482.832630,-148.041188,-8882.471304,689.485948
482.832958,-370.102971,-8882.471304,766.095498
482.833286,-444.123565,-9326.594869,689.485948
482.833614,-370.102971,-9030.512492,536.266849
482.833942,-222.061783,-9030.512492,766.095498
482.834270,-740.205942,-9104.533087,383.047749
482.834598,-962.267725,-9474.636058,-306.438199
482.834926,-1480.411884,-9548.656652,-229.828649
482.835254,-1480.411884,-9252.574275,-383.047749
482.835582,-1036.288319,-8808.450710,-459.657299
482.835909,-592.164754,-8882.471304,-306.438199
482.836237,-296.082377,-9474.636058,-689.485948
482.836565,-962.267725,-9104.533087,-689.485948
482.836893,-1110.308913,-9030.512492,-1072.533697
482.837221,-1036.288319,-9104.533087,-1225.752797
482.837549,-962.267725,-8882.471304,-1378.971896
482.837877,-814.226536,-8882.471304,-1149.143247
482.838205,-370.102971,-9104.533087,-689.485948
482.838533,-370.102971,-9104.533087,-1225.752797
482.838861,0.000000,-9104.533087,-1302.362347
482.839189,0.000000,-9178.553681,-1378.971896
482.839516,222.061783,-9104.533087,-1149.143247
482.839844,0.000000,-9178.553681,-1378.971896
482.840172,222.061783,-9326.594869,-1685.410096
482.840500,0.000000,-9474.636058,-1762.019645
482.840828,74.020594,-9474.636058,-1838.629195
482.841156,148.041188,-9252.574275,-1685.410096
482.841484,444.123565,-8660.409521,-1991.848295
482.841812,518.144159,-9326.594869,-1991.848295
482.842140,148.041188,-9400.615463,-1838.629195
482.842468,0.000000,-9474.636058,-1991.848295
482.842796,74.020594,-9400.615463,-1915.238745
482.843123,592.164754,-8956.491898,-1991.848295
482.843451,0.000000,-9326.594869,-1838.629195
482.843779,-296.082377,-9474.636058,-1915.238745
482.844107,-444.123565,-9326.594869,-1991.848295
482.844435,-740.205942,-9104.533087,-2068.457845
482.844763,-666.185348,-8956.491898,-1685.410096
482.845091,-1332.370696,-8808.450710,-2298.286494
482.845419,-1406.391290,-9104.533087,-2451.505594
482.845747,-1702.473667,-9104.533087,-2681.334243
482.846075,-1998.556043,-9030.512492,-3064.381992
482.846403,-1924.535449,-8956.491898,-3064.381992
482.846730,-1702.473667,-9178.553681,-3217.601092
482.847058,-1850.514855,-8882.471304,-3677.258390
482.847386,-1702.473667,-8882.471304,-3983.696590
482.847714,-1628.453072,-9030.512492,-3524.039291
482.848042,-1406.391290,-9030.512492,-3677.258390
482.848370,-962.267725,-9030.512492,-4213.525239
482.848698,-518.144159,-8734.430116,-3753.867940
482.849026,-148.041188,-9104.533087,-3217.601092
482.849354,444.123565,-9178.553681,-3294.210641
482.849682,1036.288319,-9252.574275,-2757.943793
482.850010,1998.556043,-9104.533087,-2374.896044
482.850337,2368.659014,-8734.430116,-2068.457845
482.850665,2146.597232,-9104.533087,-2145.067394
482.850993,1850.514855,-9770.718434,-1915.238745
482.851321,740.205942,-9992.780217,-2451.505594
482.851649,-518.144159,-9918.759623,-2298.286494
482.851977,-1184.329507,-10288.862594,-2834.553343
482.852305,-1850.514855,-10288.862594,-4213.525239
482.852633,-2368.659014,-10066.800811,-4903.011187
482.852961,-1406.391290,-9474.636058,-4903.011187
482.853289,-296.082377,-8364.327145,-4903.011187
482.853617,1258.350101,-7476.080014,-4136.915689
482.853944,2294.638420,-7105.977043,-3217.601092
482.854272,2812.782580,-7402.059420,-2451.505594
482.854600,2294.638420,-7772.162391,-1991.848295
482.854928,962.267725,-8734.430116,-1762.019645
482.855256,-740.205942,-10288.862594,-1838.629195
482.855584,-2738.761985,-10584.944971,-2451.505594
482.855912,-3775.050304,-11325.150913,-2757.943793
482.856240,-3256.906145,-10881.027347,-2451.505594
482.856568,0.000000,-9030.512492,-1532.190996
482.856896,5329.482782,-6587.832884,612.876398
482.857224,9252.574275,-5329.482782,2528.115143
482.857551,10288.862594,-5699.585753,4213.525239
482.857879,7846.182985,-7920.203579,3907.087040
482.858207,2664.741391,-10362.883188,2834.553343
482.858535,-3108.864956,-12065.356855,1072.533697
482.858863,-8290.306550,-13397.727550,-383.047749
482.859191,-11695.253884,-14211.954086,-2604.724693
482.859519,-11843.295072,-13619.789333,-3983.696590
482.859847,-11547.212695,-11695.253884,-4213.525239
482.860175,-4885.359217,-8364.327145,-4519.963438
482.860503,-3108.864956,-5107.421000,-2834.553343
482.860830,740.205942,-4071.132681,-4060.306139
482.861158,444.123565,-4885.359217,-4443.353888
