#time,accel_x,accel_y,accel_z
591.877418,-296.082377,-9104.533087,76.609550
591.877745,0.000000,-9252.574275,536.266849
591.878073,-222.061783,-9178.553681,459.657299
591.878401,-148.041188,-9400.615463,536.266849
591.878729,-148.041188,-9326.594869,383.047749
591.879056,0.000000,-8586.388927,536.266849
591.879384,-444.123565,-9252.574275,306.438199
591.879712,-222.061783,-9178.553681,536.266849
591.880040,-296.082377,-9030.512492,536.266849
591.880368,-222.061783,-9252.574275,536.266849
591.880695,-370.102971,-9030.512492,612.876398
591.881023,-518.144159,-9104.533087,383.047749
591.881351,0.000000,-9252.574275,459.657299
591.881679,-296.082377,-9030.512492,459.657299
591.882006,-370.102971,-9104.533087,459.657299
591.882334,0.000000,-8956.491898,766.095498
591.882662,-222.061783,-8882.471304,689.485948
591.882990,-296.082377,-9104.533087,689.485948
591.883317,-370.102971,-8956.491898,766.095498
591.883645,-444.123565,-9252.574275,536.266849
591.883973,-222.061783,-9178.553681,383.047749
591.884301,-296.082377,-8586.388927,919.314598
591.884628,-370.102971,-9104.533087,612.876398
591.884956,0.000000,-9178.553681,1072.533697
591.885284,-296.082377,-9030.512492,995.924147
591.885612,-222.061783,-9178.553681,612.876398
591.885939,-296.082377,-9252.574275,1302.362347
591.886267,0.000000,-9030.512492,383.047749
591.886595,-518.144159,-9104.533087,536.266849
591.886923,-740.205942,-9326.594869,229.828649
591.887251,-1480.411884,-9474.636058,-229.828649
591.887578,-1332.370696,-8882.471304,0.000000
591.887906,-814.226536,-9178.553681,-153.219100
591.888234,-666.185348,-9030.512492,-459.657299
591.888562,-518.144159,-9178.553681,-306.438199
591.888889,-814.226536,-9326.594869,-612.876398
591.889217,-962.267725,-9474.636058,-612.876398
591.889545,-1258.350101,-8882.471304,-995.924147
591.889873,-962.267725,-9178.553681,-1225.752797
591.890200,-740.205942,-9252.574275,-1378.971896
591.890528,-592.164754,-9326.594869,-1225.752797
591.890856,222.061783,-9474.636058,-1378.971896
591.891184,-740.205942,-8290.306550,-1072.533697
591.891511,-222.061783,-8956.491898,-1378.971896
591.891839,0.000000,-9178.553681,-1608.800546
591.892167,0.000000,-9326.594869,-1685.410096
591.892495,148.041188,-9400.615463,-1762.019645
591.892822,296.082377,-8956.491898,-1149.143247
591.893150,370.102971,-9104.533087,-1608.800546
591.893478,296.082377,-9326.594869,-1532.190996
591.893806,592.164754,-9474.636058,-1608.800546
591.894134,592.164754,-9252.574275,-1838.629195
591.894461,370.102971,-9326.594869,-1532.190996
591.894789,296.082377,-9252.574275,-1991.848295
591.895117,0.000000,-9326.594869,-1915.238745
591.895445,0.000000,-9104.533087,-1608.800546
591.895772,222.061783,-9030.512492,-1762.019645
591.896100,0.000000,-8956.491898,-1915.238745
591.896428,-518.144159,-8882.471304,-1225.752797
591.896756,-740.205942,-9326.594869,-1915.238745
591.897083,-962.267725,-9104.533087,-2145.067394
591.897411,-1110.308913,-8882.471304,-2374.896044
591.897739,-1036.288319,-9400.615463,-2451.505594
591.898067,-1776.494261,-8808.450710,-2604.724693
591.898394,-1554.432478,-9178.553681,-2681.334243
591.898722,-1924.535449,-9030.512492,-3064.381992
591.899050,-2146.597232,-9178.553681,-3217.601092
591.899378,-2146.597232,-9030.512492,-3753.867940
591.899706,-2146.597232,-8956.491898,-4136.915689
591.900033,-2368.659014,-9030.512492,-4213.525239
591.900361,-2220.617826,-8956.491898,-4213.525239
591.900689,-1776.494261,-9030.512492,-4213.525239
591.901017,-1258.350101,-8956.491898,-4060.306139
591.901344,-222.061783,-9030.512492,-3370.820191
591.901672,592.164754,-8808.450710,-3370.820191
591.902000,1258.350101,-9030.512492,-3370.820191
591.902328,1850.514855,-9104.533087,-2681.334243
591.902655,2220.617826,-9030.512492,-2451.505594
591.902983,2220.617826,-9030.512492,-2145.067394
591.903311,2368.659014,-9474.636058,-2068.457845
591.903639,1480.411884,-10066.800811,-2145.067394
591.903966,518.144159,-10140.821405,-2528.115143
591.904294,-666.185348,-10584.944971,-3140.991542
591.904622,-1406.391290,-9992.780217,-3064.381992
591.904950,-1480.411884,-9992.780217,-4060.306139
591.905277,-1480.411884,-9474.636058,-4749.792088
591.905605,-962.267725,-8734.430116,-4903.011187
591.905933,592.164754,-7920.203579,-4443.353888
591.906261,2072.576638,-7179.997637,-3447.429741
591.906589,2738.761985,-6809.894666,-2987.772442
591.906916,2886.803174,-7328.038826,-2298.286494
591.907244,1480.411884,-8438.347739,-1762.019645
591.907572,-222.061783,-9770.718434,-1991.848295
591.907900,-2368.659014,-10288.862594,-2374.896044
591.908227,-3997.112087,-10881.027347,-2298.286494
591.908555,-4145.153275,-10881.027347,-2451.505594
591.908883,-3182.885551,-10362.883188,-2451.505594
591.909211,-1258.350101,-9178.553681,-2221.676944
591.909538,1850.514855,-7698.141797,-1149.143247
591.909866,6143.709319,-5699.585753,536.266849
591.910194,9548.656652,-4441.235652,2681.334243
591.910522,11251.130318,-5329.482782,4443.353888
591.910849,8734.430116,-7772.162391,5132.839837
591.911177,2368.659014,-11177.109724,4290.134789
591.911505,-4737.318029,-13915.871710,2068.457845
591.911833,-9474.636058,-15100.201217,0.000000
591.912160,-12213.398043,-14878.139434,-842.705048
591.912488,-9918.759623,-12805.562797,-2068.457845
591.912816,-8586.388927,-11473.192101,-2221.676944
591.913144,-1850.514855,-7328.038826,-1378.971896
591.913472,-1702.473667,-5255.462188,-689.485948
591.913799,-518.144159,-3997.112087,-3140.991542
591.914127,-4293.194464,-5551.544565,-5669.106685
591.914455,-9252.574275,-7179.997637,-7584.345430
591.914783,-13323.706956,-8660.409521,-9806.022374
591.915110,-14730.098246,-8142.265362,-10418.898773
591.915438,-11325.150913,-7550.100608,-10342.289223
591.915766,-6513.812290,-8290.306550,-8197.221829
591.916094,962.267725,-6513.812290,-6281.983084
591.916421,3108.864956,-7179.997637,-5592.497135
591.916749,6143.709319,-8290.306550,-4213.525239
591.917077,3330.926739,-9844.739029,-6435.202183
591.917405,3034.844362,-10881.027347,-6511.811733
591.917732,4737.318029,-10658.965565,-6971.469032
591.918060,7994.224174,-10436.903782,-5745.716235
591.918388,12287.418637,-9622.677246,-2987.772442
591.918716,13989.892304,-10140.821405,-1838.629195
591.919044,12953.603985,-10140.821405,-1302.362347
591.919371,12953.603985,-9918.759623,-1302.362347
591.919699,13545.768739,-9770.718434,-1685.410096
591.920027,13841.851115,-10140.821405,-2068.457845
591.920355,9918.759623,-10436.903782,-1991.848295
591.920682,5847.626942,-13989.892304,-3064.381992
591.921010,-3404.947333,-14211.954086,-5209.449386
591.921338,-11547.212695,-14063.912898,-7737.564530
591.921666,-9030.512492,-10214.842000,-7967.393179
591.921993,-3701.029710,-4737.318029,-6435.202183
591.922321,1258.350101,-2516.700203,-3983.696590
591.922649,5625.565159,-1702.473667,-1915.238745
591.922977,2886.803174,-2664.741391,-995.924147
591.923304,-1184.329507,-3997.112087,-536.266849
591.923632,-3923.091493,-5921.647536,-766.095498
591.923960,-7402.059420,-6661.853478,-919.314598
591.924288,-6661.853478,-8290.306550,-995.924147
591.924615,-6143.709319,-10362.883188,1838.629195
591.924943,-5477.523971,-9548.656652,3370.820191
591.925271,-4219.173869,-8808.450710,5209.449386
591.925599,-1332.370696,-7624.121203,5822.325785
591.925927,-1776.494261,-8586.388927,3140.991542
591.926254,-4071.132681,-10881.027347,1149.143247
591.926582,-5995.668130,-11917.315666,-1149.143247
591.926910,-7624.121203,-10732.986159,-2298.286494
591.927238,-4737.318029,-9252.574275,-766.095498
