#time,accel_x,accel_y,accel_z
419.452857,0.000000,-9400.615463,766.095498
419.453185,-296.082377,-9326.594869,536.266849
419.453513,-296.082377,-9030.512492,612.876398
419.453841,-148.041188,-9030.512492,536.266849
419.454168,-370.102971,-9252.574275,536.266849
419.454496,-296.082377,-9104.533087,766.095498
419.454824,-444.123565,-8290.306550,536.266849
419.455152,-222.061783,-9030.512492,383.047749
419.455480,-148.041188,-9326.594869,536.266849
419.455808,-444.123565,-9104.533087,536.266849
419.456135,-222.061783,-9178.553681,306.438199
419.456463,-296.082377,-8956.491898,1225.752797
419.456791,-296.082377,-8956.491898,612.876398
419.457119,-370.102971,-9178.553681,383.047749
419.457447,-296.082377,-9104.533087,306.438199
419.457774,-370.102971,-9030.512492,383.047749
419.458102,0.000000,-8956.491898,612.876398
419.458430,-222.061783,-9178.553681,536.266849
419.458758,-222.061783,-9178.553681,536.266849
419.459086,-148.041188,-9104.533087,459.657299
419.459414,-222.061783,-9030.512492,536.266849
419.459741,-222.061783,-8956.491898,766.095498
419.460069,0.000000,-9030.512492,919.314598
419.460397,-148.041188,-9178.553681,612.876398
419.460725,-222.061783,-9030.512492,536.266849
419.461053,-296.082377,-9030.512492,459.657299
419.461380,-296.082377,-9104.533087,842.705048
419.461708,-222.061783,-9104.533087,1149.143247
419.462036,-296.082377,-9104.533087,536.266849
419.462364,-296.082377,-9030.512492,459.657299
419.462692,-592.164754,-9030.512492,459.657299
419.463020,-962.267725,-9326.594869,153.219100
419.463347,-1554.432478,-9474.636058,153.219100
419.463675,-1702.473667,-9474.636058,-383.047749
419.464003,-1258.350101,-9252.574275,-383.047749
419.464331,-518.144159,-8882.471304,0.000000
419.464659,-444.123565,-8882.471304,-383.047749
419.464987,-592.164754,-9104.533087,-306.438199
419.465314,-888.247130,-9030.512492,-919.314598
419.465642,-1036.288319,-9252.574275,-1225.752797
419.465970,-1110.308913,-9030.512492,-1378.971896
419.466298,-962.267725,-9178.553681,-1378.971896
419.466626,-148.041188,-9622.677246,-1072.533697
419.466953,-296.082377,-8956.491898,-1149.143247
419.467281,0.000000,-9030.512492,-1149.143247
419.467609,0.000000,-9178.553681,-1378.971896
419.467937,0.000000,-9400.615463,-1532.190996
419.468265,0.000000,-9252.574275,-1608.800546
419.468593,0.000000,-8956.491898,-1838.629195
419.468920,148.041188,-9326.594869,-1762.019645
419.469248,296.082377,-9252.574275,-1915.238745
419.469576,74.020594,-9252.574275,-2068.457845
419.469904,370.102971,-9326.594869,-1685.410096
419.470232,888.247130,-9844.739029,-1762.019645
419.470560,592.164754,-9474.636058,-1991.848295
419.470887,222.061783,-9400.615463,-1762.019645
419.471215,0.000000,-9252.574275,-2145.067394
419.471543,74.020594,-9252.574275,-1915.238745
419.471871,666.185348,-9474.636058,-1455.581446
419.472199,296.082377,-8882.471304,-1608.800546
419.472526,0.000000,-9178.553681,-1838.629195
419.472854,-518.144159,-9252.574275,-1838.629195
419.473182,-740.205942,-9104.533087,-2145.067394
419.473510,-1184.329507,-8734.430116,-2298.286494
419.473838,-1036.288319,-8734.430116,-1991.848295
419.474166,-1184.329507,-9178.553681,-2451.505594
419.474493,-1628.453072,-9178.553681,-2681.334243
419.474821,-1776.494261,-9030.512492,-2911.162892
419.475149,-1628.453072,-9178.553681,-2987.772442
419.475477,-1850.514855,-8586.388927,-3140.991542
419.475805,-1702.473667,-8882.471304,-3677.258390
419.476132,-1702.473667,-8882.471304,-3600.648841
419.476460,-1554.432478,-8956.491898,-3753.867940
419.476788,-1332.370696,-8808.450710,-3753.867940
419.477116,-1036.288319,-9178.553681,-3907.087040
419.477444,-666.185348,-8660.409521,-3217.601092
419.477772,-222.061783,-8808.450710,-3217.601092
419.478099,666.185348,-9030.512492,-2834.553343
419.478427,1184.329507,-8734.430116,-2528.115143
419.478755,1850.514855,-8956.491898,-2757.943793
419.479083,2368.659014,-8882.471304,-1455.581446
419.479411,1850.514855,-9474.636058,-1762.019645
419.479739,888.247130,-9622.677246,-1991.848295
419.480066,74.020594,-10140.821405,-2374.896044
419.480394,-814.226536,-10362.883188,-2987.772442
419.480722,-2146.597232,-9992.780217,-3294.210641
419.481050,-2220.617826,-10214.842000,-4366.744339
419.481378,-2294.638420,-9770.718434,-4903.011187
419.481705,-1406.391290,-9030.512492,-4903.011187
419.482033,74.020594,-7994.224174,-4213.525239
419.482361,1480.411884,-6957.935855,-3677.258390
419.482689,2738.761985,-6883.915261,-2834.553343
419.483017,3256.906145,-7328.038826,-1991.848295
419.483345,2368.659014,-8142.265362,-1685.410096
419.483672,814.226536,-9104.533087,-1378.971896
419.484000,-1332.370696,-10140.821405,-1072.533697
419.484328,-2738.761985,-11399.171507,-2451.505594
419.484656,-3775.050304,-11325.150913,-1991.848295
419.484984,-3034.844362,-10732.986159,-2221.676944
419.485312,-1036.288319,-9178.553681,-2145.067394
