#time,accel_x,accel_y,accel_z
486.073674,0.000000,-8956.491898,1302.362347
486.074001,0.000000,-8882.471304,229.828649
486.074329,-296.082377,-9104.533087,459.657299
486.074657,-222.061783,-9030.512492,306.438199
486.074984,-148.041188,-9178.553681,536.266849
486.075312,-296.082377,-8808.450710,536.266849
486.075640,74.020594,-9104.533087,689.485948
486.075967,-222.061783,-9030.512492,612.876398
486.076295,-370.102971,-9030.512492,459.657299
486.076622,-444.123565,-9030.512492,536.266849
486.076950,-222.061783,-9326.594869,612.876398
486.077278,-370.102971,-8956.491898,612.876398
486.077605,0.000000,-8882.471304,536.266849
486.077933,-444.123565,-8956.491898,306.438199
486.078260,-370.102971,-9252.574275,689.485948
486.078588,-296.082377,-9030.512492,536.266849
486.078916,-222.061783,-8882.471304,689.485948
486.079243,-222.061783,-8808.450710,612.876398
486.079571,-222.061783,-9252.574275,612.876398
486.079899,-444.123565,-9178.553681,383.047749
486.080226,-370.102971,-8956.491898,229.828649
486.080554,74.020594,-9400.615463,459.657299
486.080881,-296.082377,-8586.388927,536.266849
486.081209,-222.061783,-9104.533087,612.876398
486.081537,-370.102971,-9474.636058,536.266849
486.081864,-296.082377,-8956.491898,689.485948
486.082192,-222.061783,-9104.533087,536.266849
486.082519,-444.123565,-9178.553681,536.266849
486.082847,-148.041188,-9178.553681,459.657299
486.083175,-444.123565,-9252.574275,383.047749
486.083502,-740.205942,-9178.553681,0.000000
486.083830,-1480.411884,-9400.615463,-153.219100
486.084158,-1258.350101,-9474.636058,0.000000
486.084485,-888.247130,-9252.574275,-766.095498
486.084813,-592.164754,-9030.512492,-306.438199
486.085140,-370.102971,-9178.553681,-459.657299
486.085468,-444.123565,-9252.574275,-612.876398
486.085796,-666.185348,-9474.636058,-459.657299
486.086123,-1110.308913,-9030.512492,-995.924147
486.086451,-1184.329507,-8956.491898,-1378.971896
486.086778,-814.226536,-9252.574275,-1378.971896
486.087106,-592.164754,-9326.594869,-1532.190996
486.087434,0.000000,-9030.512492,-1302.362347
486.087761,0.000000,-8660.409521,-536.266849
486.088089,0.000000,-8956.491898,-1455.581446
486.088417,0.000000,-9252.574275,-1532.190996
486.088744,0.000000,-9178.553681,-1762.019645
486.089072,74.020594,-9178.553681,-1532.190996
486.089399,74.020594,-8956.491898,-2068.457845
486.089727,148.041188,-9474.636058,-1685.410096
486.090055,370.102971,-9474.636058,-1532.190996
486.090382,592.164754,-9326.594869,-1608.800546
486.090710,518.144159,-9178.553681,-1685.410096
486.091037,444.123565,-9622.677246,-2221.676944
486.091365,0.000000,-9326.594869,-1838.629195
486.091693,0.000000,-9178.553681,-2068.457845
486.092020,0.000000,-9104.533087,-1762.019645
486.092348,-148.041188,-9178.553681,-1762.019645
486.092676,0.000000,-9474.636058,-1915.238745
486.093003,-370.102971,-9030.512492,-2221.676944
486.093331,-666.185348,-9178.553681,-2068.457845
486.093658,-888.247130,-9104.533087,-1991.848295
486.093986,-962.267725,-9252.574275,-2298.286494
486.094314,-1554.432478,-9178.553681,-2068.457845
486.094641,-1480.411884,-9178.553681,-2757.943793
486.094969,-1702.473667,-8882.471304,-2681.334243
486.095297,-1776.494261,-8808.450710,-3064.381992
486.095624,-1924.535449,-9104.533087,-3294.210641
486.095952,-2072.576638,-9030.512492,-3524.039291
486.096279,-1776.494261,-8882.471304,-3294.210641
486.096607,-1998.556043,-8956.491898,-4060.306139
486.096935,-1998.556043,-8882.471304,-3983.696590
486.097262,-1628.453072,-8808.450710,-4213.525239
486.097590,-1036.288319,-9030.512492,-3830.477490
486.097917,0.000000,-9252.574275,-3677.258390
486.098245,296.082377,-8956.491898,-3600.648841
486.098573,1110.308913,-8956.491898,-2987.772442
486.098900,1850.514855,-9104.533087,-2681.334243
486.099228,2072.576638,-8956.491898,-2374.896044
486.099556,2812.782580,-9548.656652,-2068.457845
486.099883,2072.576638,-9252.574275,-2145.067394
486.100211,1258.350101,-9918.759623,-1991.848295
486.100538,222.061783,-10362.883188,-2604.724693
486.100866,-814.226536,-10288.862594,-3294.210641
